date,EMA_50,open,low,high,close
2017-08-24 09:00:00,4102.887350913623,20.609028238771316,-20.151293612598238,248.58810903974336,198.51909085156421
2017-08-25 09:00:00,4112.647673256329,196.5549022495752,156.09490643951722,337.55176110403227,239.12789739629898
2017-08-26 09:00:00,4121.309193489051,224.5937651789436,110.44802015656569,248.37738263156916,212.20724570169932
2017-08-27 09:00:00,4129.706435877533,203.60309866254374,160.22640906680135,264.13622915864926,205.73243851781262
2017-08-28 09:00:00,4139.538639219589,189.0715607969887,26.56673237524592,260.1878924386192,240.88898188035728
2017-08-29 09:00:00,4156.7817788240645,226.70249163297012,178.38022379409358,491.8412384657868,422.45692030965347
2017-08-30 09:00:00,4173.051813221637,404.55486896323964,300.60364907384246,469.6170295225602,398.61584274052166
2017-08-31 09:00:00,4195.0383628820355,377.0522369480823,370.9439974757079,569.0075322116927,538.6704666797759
2017-09-01 09:00:00,4223.415094746697,509.2830983443182,447.10431949728263,709.8442843010989,695.2299306842069
2017-09-02 09:00:00,4237.919241533029,677.276267903093,240.11865785052578,739.8684134979903,355.35159626513087
2017-09-03 09:00:00,4252.142914514638,342.45526715188953,127.82963915098571,448.7132653387762,348.4799880494011
2017-09-04 09:00:00,4252.752128480441,345.7274208158042,-198.78381429333058,356.6603626336582,14.925742162167808
2017-09-05 09:00:00,4258.3245929342465,14.448664754172569,-278.5651170306169,217.11727004576096,136.52537911825402
2017-09-06 09:00:00,4271.976439087359,123.97366604402669,83.4640667261765,377.8849550857685,334.470230751248
2017-09-07 09:00:00,4285.5824598155405,320.9436653440707,187.5292474104417,394.61837825648945,333.34750784046173
2017-09-08 09:00:00,4286.566215642152,331.9301277826935,-165.00297135328583,395.931404402264,24.10201775198493
2017-09-09 09:00:00,4287.313728882601,37.33243829902494,-124.17738791618376,95.36826459896474,18.314074390991664
2017-09-10 09:00:00,4284.7565512499605,34.952171163128696,-283.727744329708,35.99051164446428,-62.65085199969144
2017-09-11 09:00:00,4281.722109338934,-59.785064545174464,-188.93890313432485,70.6459382401963,-74.34382682014075
2017-09-12 09:00:00,4277.419728474562,-77.92713432956498,-199.85244634108085,101.28155317489745,-105.40833117711281
