close,high,low,open,timestamp,volume
4250.96,4270.11,4179,4252.03,1503018000,881.93962641
4269.89,4274,4229.19,4245,1503021600,270.56187212
4258.92,4293.48,4255,4272.99,1503025200,302.23628109
4269.53,4287.03,4225.02,4263.11,1503028800,397.66162071
4296.85,4325,4266,4269.53,1503032400,319.66332705
4287.89,4324.81,4265.01,4296.88,1503036000,219.32595268
4296.72,4313.32,4265.14,4280.79,1503039600,300.41679203
4283.11,4309.98,4241,4296.72,1503043200,431.46933583
4303.97,4305,4280,4284,1503046800,220.47350234
4346.98,4368,4295.16,4295.16,1503050400,679.68633384
4308.99,4348,4300.1,4346.96,1503054000,307.60269160
4301.72,4340,4293.48,4308.99,1503057600,373.57622870
4283.91,4310.12,4245,4301.71,1503061200,859.37804014
4246.01,4292,4208.88,4280,1503064800,1274.49413918
4224,4253.83,4208.88,4246,1503068400,857.39830213
4247.54,4269.3,4222.16,4224,1503072000,678.49203433
4187.88,4247.52,4125,4247.51,1503075600,1461.08884215
4090,4197.41,4090,4187.88,1503079200,1077.17889721
4119.67,4119.87,3990.32,4089,1503082800,2715.92166908
4004.61,4115.94,4004.61,4115.92,1503086400,971.37732021
4055,4066.06,3964.96,4004.61,1503090000,918.52884890
4113.09,4145.99,4044.66,4055,1503093600,902.66374456
4100,4146,4089.92,4105.78,1503097200,607.05268665
4159.98,4167.21,4095.9,4100,1503100800,360.28051574
4149.99,4188,4138.06,4159.99,1503104400,238.37983609
4160,4163.05,4132.71,4149.99,1503108000,504.73465283
4103.49,4160,4085.1,4160,1503111600,411.01125978
4089,4127.57,4085.1,4103.48,1503115200,367.72772948
4059.54,4106.14,4044.66,4089,1503118800,464.85579528
3970.26,4069,3958,4050.87,1503122400,1059.62057561
4035,4050,3925.7,3970.26,1503126000,747.99152605
3999,4053.3,3964.96,4046.3,1503129600,609.68907794
4049.99,4085,4000.84,4002,1503133200,654.97608410
4012.51,4050,3991,4049.99,1503136800,358.62039539
3955.05,4026.94,3924.64,4026.46,1503140400,647.25722893
4100,4125.95,3945.76,3955.05,1503144000,1690.04893226
4030,4105,4024.44,4093.38,1503147600,996.44691978
4000,4058.99,3995,4044.93,1503151200,901.48774900
3946,4025.01,3900,4000,1503154800,1494.87811724
3960.18,3990,3925.7,3948,1503158400,765.47578340
4010.99,4019,3950.16,3960.36,1503162000,820.18302782
4046.33,4059,4005.55,4010.99,1503165600,449.98268980
4054.4,4057.46,4016.01,4046.24,1503169200,162.55285618
4087.96,4098.79,4020.14,4053.57,1503172800,438.34425450
4077.2,4110.02,4064.87,4087.97,1503176400,241.95746047
4099.99,4125.95,4073.22,4077.3,1503180000,212.05396528
4099.55,4130,4090.01,4099.99,1503183600,437.62761818
4050,4102,4027,4091.99,1503187200,444.79633195
4034.95,4050,4000,4050,1503190800,555.05050132
4047.22,4065.87,4019.85,4047.65,1503194400,195.09136740
4032.66,4070,4011.51,4035.1,1503198000,231.75937784
4046,4056.18,4030.56,4032.63,1503201600,88.94690398
4045.98,4085.07,4030.47,4040.01,1503205200,186.24902987
4059.99,4065.41,4031.36,4045.79,1503208800,119.26164849
4095.76,4125.95,4049.21,4049.92,1503212400,247.21532520
4108.03,4124.99,4085.14,4094.83,1503216000,152.53816361
4093.46,4118.76,4053.08,4108,1503219600,134.48227878
4056.55,4105.97,4045,4082.29,1503223200,157.25761752
4044.6,4064.94,4004.5,4056.32,1503226800,418.14222852
4063,4074.98,4012,4044.6,1503230400,220.67033084
4005.43,4073.3,4000,4063,1503234000,378.83466936
4025.62,4044.66,4000,4018.3,1503237600,247.55988737
4040.11,4044.66,4020,4025.65,1503241200,256.94585196
4070.41,4074.81,4025,4040.11,1503244800,284.42682757
4062.99,4081.79,4053.94,4056.6,1503248400,158.70868638
4075.81,4084.97,4040,4062.99,1503252000,182.20185573
4088.4,4125.95,4071.8,4084.97,1503255600,649.52768079
4061.53,4106.58,4050,4090.94,1503259200,198.41766667
4093.27,4094.29,4057.26,4075,1503262800,107.01268574
4098.97,4111.96,4078.68,4093.27,1503266400,104.35247642
4058.68,4099.03,4026,4091.01,1503270000,518.52350301
4075.4,4075.97,4040,4058.64,1503273600,89.11103099
4062.06,4078.71,4048.06,4075.4,1503277200,51.04713485
4045.49,4064.78,4016,4062.51,1503280800,186.86566081
4039.12,4052.32,4030.08,4037,1503284400,39.90523347
4045.93,4063.31,4031.66,4031.66,1503288000,95.15347123
4005,4057.49,4000.01,4057.49,1503291600,639.43990374
3999.84,4017.22,3949.78,4005.01,1503295200,992.06557592
4014.21,4021.93,3980.01,3982.14,1503298800,313.33974592
4042.04,4042.05,4001.05,4001.05,1503302400,260.25170007
4062,4062.26,4033,4040.18,1503306000,352.05278225
4061.02,4075.35,4045,4061.98,1503309600,172.10005141
4031,4080,4030.05,4069.71,1503313200,252.18126218
4029.05,4054.68,4022.02,4043.64,1503316800,278.95754110
3997.97,4047.15,3990,4031.01,1503320400,746.14149989
4016.02,4016.03,3969.16,3997.98,1503324000,1039.47979845
4004.99,4034.54,4000,4012.96,1503327600,758.19143159
4002.26,4017.47,3990,4004.99,1503331200,260.00600939
3988.01,4015.05,3975.87,3998.14,1503334800,465.92185634
4000.06,4000.06,3962.21,3990,1503338400,557.84208818
4014.21,4021.94,3998.66,4000.06,1503342000,271.05298635
3999,4018.8,3986.36,4003,1503345600,328.84485207
4015.41,4042.05,3992.59,3992.87,1503349200,452.67186015
3997.41,4029.93,3989.81,4029.93,1503352800,470.79522787
3987.52,4007.11,3962.21,3997.41,1503356400,708.63788979
3879.54,3993.4,3846.78,3987.51,1503360000,1897.31050515
3845.39,3903.37,3810.25,3883.93,1503363600,1164.67633912
3872.98,3899.95,3827.56,3844.99,1503367200,576.85982854
3835.1,3891.5,3830.86,3875.78,1503370800,423.83080147
3645.99,3841.16,3639.5,3840.07,1503374400,2335.79160001
