date,open,high,low,close
2017-08-18 09:00:00,4262.04768002005,4368.225657605469,3963.281030486586,4100.53657788573
2017-08-19 09:00:00,4100.207009177678,4187.918136155542,3898.76338603538,4100.549926051793
2017-08-20 09:00:00,4094.0094815632756,4131.8802678675975,4002.272352141913,4060.6033489466035
2017-08-21 09:00:00,4059.332813013338,4082.616706538463,3947.2709469612264,3989.400964215432
2017-08-22 09:00:00,3988.6346009791655,4137.948557817781,3592.105293231549,4083.2236909770986
2017-08-23 09:00:00,4075.6194052666947,4250.024352877935,4049.5562729052035,4108.488992183662
2017-08-24 09:00:00,4123.496379152394,4351.475459953366,4082.7360573010246,4301.406441765187
2017-08-25 09:00:00,4309.202575505904,4450.199434360361,4268.742579695846,4351.775570652628
2017-08-26 09:00:00,4345.902958667994,4369.68657612062,4231.7572136456165,4333.51643919075
2017-08-27 09:00:00,4333.309534540077,4393.842665036183,4289.932844944335,4335.438874395346
2017-08-28 09:00:00,4328.610200016577,4399.726531658208,4166.105371594835,4380.427621099946
2017-08-29 09:00:00,4383.484270457035,4648.623017289851,4335.162002618158,4579.238699133718
2017-08-30 09:00:00,4577.606682184876,4642.668842744197,4473.655462295479,4571.667655962158
2017-08-31 09:00:00,4572.090599830118,4764.045895093728,4565.982360357743,4733.708829561811
2017-09-01 09:00:00,4732.698193091015,4933.259379047796,4670.51941424398,4918.645025430904
2017-09-02 09:00:00,4915.195509436122,4977.787655031019,4478.037899383555,4593.27083779816
2017-09-03 09:00:00,4594.598181666527,4700.856179853414,4379.972553665623,4600.622902564039
2017-09-04 09:00:00,4598.479549296245,4609.412491114099,4053.96831418711,4267.6778706426085
2017-09-05 09:00:00,4272.773257688419,4475.4418629800075,3979.7594759036297,4394.849972052501
2017-09-06 09:00:00,4395.9501051313855,4649.861394173127,4355.440505813535,4606.446669838607
2017-09-07 09:00:00,4606.526125159611,4680.20083807203,4473.111707225982,4618.929967656002
2017-09-08 09:00:00,4618.496343424846,4682.497620044416,4121.563244288866,4310.668233394137
2017-09-09 09:00:00,4324.646167181626,4382.681993481566,4163.136340966417,4305.627803273593
