timestamp,open,high,low,volume,close
2017-08-18 09:00:00,4260.47,4368,3964.96,17516.99336076,4100
2017-08-19 09:00:00,4100,4188,3900,15036.18405113,4099.55
2017-08-20 09:00:00,4091.99,4125.95,4000,6237.97289632,4058.68
2017-08-21 09:00:00,4058.64,4080,3949.78,9782.05659401,3987.52
2017-08-22 09:00:00,3987.51,4139.31,3600,23522.75816636,4085
2017-08-23 09:00:00,4078,4248.97,4051.94,14979.40348147,4108.12
2017-08-24 09:00:00,4121.78,4350,4082.57,10782.69436738,4300.34
2017-08-25 09:00:00,4308.8,4449.98,4270,9699.61003374,4355.98
2017-08-26 09:00:00,4348.17,4369.78,4232.43,6559.66860375,4333.38
2017-08-27 09:00:00,4333.38,4393.3,4290.32,3979.12445283,4337.68
2017-08-28 09:00:00,4329.91,4399.72,4169.01,8641.00244590,4379.99
2017-08-29 09:00:00,4385,4649.78,4336.26,11879.64283069,4578.82
2017-08-30 09:00:00,4578.82,4642.22,4479,8720.03503995,4573.2
2017-08-31 09:00:00,4573.15,4765.21,4566.66,8911.41245939,4734.26
2017-09-01 09:00:00,4734.26,4935,4671.09,15367.52969736,4921.7
2017-09-02 09:00:00,4921.71,4979.9,4488.5,16977.79362226,4599.9
2017-09-03 09:00:00,4599.9,4700,4385,11224.91455630,4606.26
2017-09-04 09:00:00,4603.68,4613.97,4058.5,25069.12523005,4277
2017-09-05 09:00:00,4282.53,4474.88,4001.93,20884.21969353,4396.52
2017-09-06 09:00:00,4397.38,4649.23,4356.42,16634.10420534,4605.8
2017-09-07 09:00:00,4605.81,4674.34,4475,9254.85142692,4615
2017-09-08 09:00:00,4615,4679.97,4125.99,23693.30162259,4312
2017-09-09 09:00:00,4327.41,4379.78,4164,9974.38823453,4308.72
2017-09-10 09:00:00,4322.44,4322.44,4010,14724.20414387,4226.22
2017-09-11 09:00:00,4226.21,4353.49,4092.4,11191.59504385,4207.31
2017-09-12 09:00:00,4198.89,4377.65,4080,13294.43769742,4172.56
